current_node_accs	current_node_id	current_node_param_string	is_gt	parent_accs	parent_node_id	parent_node_param_string
[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019]	0	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016]	14	act1=sigmoid,act2=softmax,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	False	[1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019]	0	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016]	24	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=binary_crossentropy,lr=0.01,optimizer=sgd,unit1=5	False	[1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019]	0	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258]	29	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.1,optimizer=sgd,unit1=5	False	[1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019]	0	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258, 1788.3184958065258]	33	act1=sigmoid,act2=sigmoid,batch_size=16,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	False	[1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019, 1788.3470435049019]	0	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[77.18531283210305, 58.123157351624734, 83.23687130797143, 57.865136165244905, 78.42820283478382, 87.59454016591988, 153.61684133492264, 123.57229165469899, 86.63145716050091, 65.51789145376168]	40	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_normal,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[81.76112103929707, 51.79379003188189, 142.55186252967985, 90.18022245519302, 63.540983985452094, 106.93048499612247, 77.89114529478783, 175.68761249617035, 121.09222980574066, 75.26128282733993]	41	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=random_normal,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[50.42628479003906, 47.478730407415654, 59.03387825161803, 41.501254549213485, 49.49115061292461, 41.29813755259794, 51.076412238326725, 51.77189015407188, 69.04277898751053, 62.29674544988894]	66	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=2000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[42.08429400126139, 78.9451795091816, 37.712414947210576, 78.67070964738434, 48.86164078057981, 78.35131701301125, 48.01852562848259, 29.162001778097714, 52.77195560230928, 56.410617454379214]	45	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=10	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[74.19893765917011, 70.55370087717094, 91.60786826937806, 97.7792609719669, 43.85629661410463, 82.84396773693608, 97.99386230169559, 72.54808048173493, 127.29596785003064, 61.80041690901214]	73	act1=sigmoid,act2=relu,batch_size=512,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[61.662147746366614, 140.57065148447074, 73.69164694991767, 63.231684591255934, 66.15231959025066, 95.96351055070465, 113.56380507525276, 81.23330179850261, 64.78236400379853, 65.8455571567311]	72	act1=sigmoid,act2=relu,batch_size=256,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5	True	[69.72400568045822, 98.841615041097, 112.99987553615196, 56.89913798313515, 56.07922348321653, 134.0662638346354, 71.64418284098308, 70.72208771051145, 75.64805124320236, 84.7912161583994]	12	act1=sigmoid,act2=relu,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=mean_squared_error,lr=0.01,optimizer=sgd,unit1=5
[1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845, 1087.798262053845]	120	act1=sigmoid,act2=exponential,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=binary_crossentropy,lr=0.01,optimizer=sgd,unit1=5	False	[1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016, 1788.3155038871016]	24	act1=sigmoid,act2=sigmoid,batch_size=150,bi1=zeros,epochs=1000,ki1=glorot_uniform,loss=binary_crossentropy,lr=0.01,optimizer=sgd,unit1=5
